
LPUSH stat_country size
LPUSH stat_country reputation
LPUSH stat_country aggression
LPUSH stat_country corruption
LPUSH stat_country approval
LPUSH stat_country efficiency
LPUSH stat_country influence
LPUSH stat_country unity
LPUSH stat_country theology
LPUSH stat_country age
LPUSH stat_country military
LPUSH stat_country social
LPUSH stat_country economic


ZADD  country_size    5   {"name":"micro",    "mincities":1,   "maxcities":2,       "score":5    }
ZADD  country_size    10   {"name":"small",    "mincities":3,   "maxcities":5,       "score":10    }
ZADD  country_size    50   {"name":"medium",   "mincities":5,   "maxcities":20,      "score":50    }
ZADD  country_size    80   {"name":"large",    "mincities":20,  "maxcities":100,     "score":80    }
ZADD  country_size    100   {"name":"massive",  "mincities":100, "maxcities":200,     "score":100    }



# When foreigners are asked about Bogoland, they say it is __________ by other nations.

ZADD  country_reputation    10   {"name":"despised",    "score":10    }
ZADD  country_reputation    20   {"name":"hated",       "score":20    }
ZADD  country_reputation    30   {"name":"feared",      "score":30    }
ZADD  country_reputation    40   {"name":"ridiculed",   "score":40    }
ZADD  country_reputation    50   {"name":"mocked",      "score":50    }
ZADD  country_reputation    60   {"name":"praised",     "score":60    }
ZADD  country_reputation    70   {"name":"loved",       "score":70    }
ZADD  country_reputation    80   {"name":"respected",   "score":80    }
ZADD  country_reputation    90   {"name":"honored",     "score":90    }
ZADD  country_reputation    100   {"name":"revered",     "score":100    }


# Many consider Bogoland ___________ towards other nations
ZADD  country_aggression    10   {"name":"rabid",        "score":10    }
ZADD  country_aggression    20   {"name":"hostile",      "score":20    }
ZADD  country_aggression    30   {"name":"combative",    "score":30    }
ZADD  country_aggression    40   {"name":"quarrelsome",  "score":40    }
ZADD  country_aggression    50   {"name":"standoffish",  "score":50    }
ZADD  country_aggression    60   {"name":"neutral",      "score":60    }
ZADD  country_aggression    70   {"name":"supportive",   "score":70    }
ZADD  country_aggression    80   {"name":"passive",      "score":80    }
ZADD  country_aggression    90   {"name":"impotent",     "score":90    }
ZADD  country_aggression    100   {"name":"timid",        "score":100    }


#People think the government of Bogoland is _____________________,

ZADD  country_corruption    5  { "name":"the epitome of corruption",     "score":5    }
ZADD  country_corruption    10  { "name":"corrupt and nefarious",     "score":10    }
ZADD  country_corruption    15  { "name":"willing to look the other way for the right price",     "score":15    }
ZADD  country_corruption    20  { "name":"crooked",         "score":20    }
ZADD  country_corruption    25  { "name":"on the take",     "score":25    }
ZADD  country_corruption    30  { "name":"underhanded",     "score":30    }
ZADD  country_corruption    35  { "name":"unethical",       "score":35    }
ZADD  country_corruption    40  { "name":"disreputable",    "score":40    }
ZADD  country_corruption    45  { "name":"equitable",       "score":45    }
ZADD  country_corruption    50  { "name":"reasonable",      "score":50    }
ZADD  country_corruption    55  { "name":"fair",            "score":55    }
ZADD  country_corruption    60  { "name":"honest",          "score":60    }
ZADD  country_corruption    65  { "name":"principled",      "score":65    }
ZADD  country_corruption    70  { "name":"decent",          "score":70    }
ZADD  country_corruption    75  { "name":"resolute",        "score":75    }
ZADD  country_corruption    80  { "name":"honorable",       "score":80    }
ZADD  country_corruption    85  { "name":"trustworthy",     "score":85    }
ZADD  country_corruption    90  { "name":"upright",         "score":90    }
ZADD  country_corruption    95  { "name":"virtuous",        "score":95    }
ZADD  country_corruption    100  { "name":"incorruptible",   "score":100    }

# while the citizens _________ it.
ZADD  country_approval    10 { "name":"despise",        "score":10    }
ZADD  country_approval    20 { "name":"hate",           "score":20    }
ZADD  country_approval    30 { "name":"fear",           "score":30    }
ZADD  country_approval    40 { "name":"ridicule",       "score":40    }
ZADD  country_approval    50 { "name":"mock",           "score":50    }
ZADD  country_approval    60 { "name":"praise",         "score":60    }
ZADD  country_approval    70 { "name":"love",           "score":70    }
ZADD  country_approval    80 { "name":"respecte",       "score":80    }
ZADD  country_approval    90 { "name":"honor",          "score":90    }
ZADD  country_approval    100 { "name":"revere",         "score":100    }


# The country's Government is often described as ____________________
ZADD  country_efficiency    5  { "name":"the pinnacle of inefficiency",       "score":5    }
ZADD  country_efficiency    10  { "name":"incapable of even simple tasks",     "score":10    }
ZADD  country_efficiency    15  { "name":"clearly incompetent",                "score":15    }
ZADD  country_efficiency    20  { "name":"horribly inefficient",               "score":20    }
ZADD  country_efficiency    25  { "name":"sloppy and disorganized",            "score":25    }
ZADD  country_efficiency    30  { "name":"inept and inadequate",               "score":30    }
ZADD  country_efficiency    35  { "name":"slipshod",                           "score":35    }
ZADD  country_efficiency    40  { "name":"minimally competent",                "score":40    }
ZADD  country_efficiency    45  { "name":"somwhat capable",                    "score":45    }
ZADD  country_efficiency    50  { "name":"adequate",                           "score":50    }
ZADD  country_efficiency    55  { "name":"satisfactory",                       "score":55    }
ZADD  country_efficiency    60  { "name":"mostly sufficient",                  "score":60    }
ZADD  country_efficiency    65  { "name":"surprisingly decent",                "score":65    }
ZADD  country_efficiency    70  { "name":"effective overall",                  "score":70    }
ZADD  country_efficiency    75  { "name":"on the ball",                        "score":75    }
ZADD  country_efficiency    80  { "name":"efficient",                          "score":80    }
ZADD  country_efficiency    85  { "name":"shrewd",                             "score":85    }
ZADD  country_efficiency    90  { "name":"surprisingly skillful",              "score":90    }
ZADD  country_efficiency    95  { "name":"magnificently organized",            "score":95    }
ZADD  country_efficiency    100  { "name":"ruthlessly effective",               "score":100    }

# The political influence of __CITY__ in the region is __INFLUENCE__ 
ZADD  country_influence    5   { "name":"negligible",            "score":5    }
ZADD  country_influence    10  { "name":"dwindling rapidly",     "score":10    }
ZADD  country_influence    15  { "name":"wilting",               "score":15    }
ZADD  country_influence    20  { "name":"wasting away",          "score":20    }
ZADD  country_influence    25  { "name":"shrinking",             "score":25    }
ZADD  country_influence    30  { "name":"declining",             "score":30    }
ZADD  country_influence    35  { "name":"receding",              "score":35    }
ZADD  country_influence    40  { "name":"consistent",            "score":40    }
ZADD  country_influence    45  { "name":"steady",                "score":45    }
ZADD  country_influence    50  { "name":"lasting",               "score":50    }
