#

ZADD npc_sex 51   {"name":"female",     "pronoun":"she", "possessive":"her", "third-person":"her", "spouse":"husband", "score":51   }
ZADD npc_sex 100  {"name":"male",       "pronoun":"he", "possessive":"his",  "third-person":"him", "spouse":"wife",    "score":100  }

# Bob is a[n] ________ follower of Grabesh.
ZADD npc_piety   5 {"name":"noncommittal",  "score":5     }
ZADD npc_piety  10 {"name":"dispassionate", "score":10    }
ZADD npc_piety  20 {"name":"insincere",     "score":20    }
ZADD npc_piety  30 {"name":"inattentive",   "score":30    }
ZADD npc_piety  40 {"name":"dutiful",       "score":40    }
ZADD npc_piety  50 {"name":"pious",         "score":50    }
ZADD npc_piety  60 {"name":"devoted",       "score":60    }
ZADD npc_piety  70 {"name":"reverent",      "score":70    }
ZADD npc_piety  80 {"name":"devout",        "score":80    }
ZADD npc_piety  90 {"name":"passionate",    "score":90    }
ZADD npc_piety 100 {"name":"overzealous",   "score":100   }

#Bob is a human 
ZADD npc_age 5    {"name":"juvenile",       "score":5   }
ZADD npc_age 10   {"name":"adolescent",     "score":10  }
ZADD npc_age 20   {"name":"young",          "score":20  }
ZADD npc_age 40   {"name":"adult",          "score":40  }
ZADD npc_age 80   {"name":"middle-aged",    "score":80  }
ZADD npc_age 95   {"name":"elderly",        "score":95  }
ZADD npc_age 100  {"name":"ancient",        "score":100 }

# friends consider bob ________
ZADD npc_honor 5    {"name":"treacherous",   "score":5   }
ZADD npc_honor 10   {"name":"untrustworthy", "score":10  }
ZADD npc_honor 15   {"name":"dishonorable",  "score":15  }
ZADD npc_honor 20   {"name":"devious",       "score":20  }
ZADD npc_honor 30   {"name":"dishonest",     "score":30  }
ZADD npc_honor 40   {"name":"inconsistent",  "score":40  }
ZADD npc_honor 50   {"name":"dependable",    "score":50  }
ZADD npc_honor 60   {"name":"reliable",      "score":60  }
ZADD npc_honor 70   {"name":"honest",        "score":70  }
ZADD npc_honor 80   {"name":"credible",      "score":80  }
ZADD npc_honor 85   {"name":"faithful",      "score":85  }
ZADD npc_honor 90   {"name":"loyal",         "score":90  }
ZADD npc_honor 95   {"name":"trustworthy",   "score":95  }
ZADD npc_honor 100  {"name":"honorable",     "score":100 }

# When provoked, bob is 
ZADD npc_bravery 5    {"name":"chicken-hearted",   "score":5  }
ZADD npc_bravery 10   {"name":"spineless",   "score":10  }
ZADD npc_bravery 15   {"name":"cowardly",   "score":15  }
ZADD npc_bravery 20   {"name":"craven",   "score":20  }
ZADD npc_bravery 30   {"name":"faint-hearted",   "score":30  }
ZADD npc_bravery 40   {"name":"panicky",   "score":40  }
ZADD npc_bravery 50   {"name":"nervous",   "score":50  }
ZADD npc_bravery 60   {"name":"tough",   "score":60  }
ZADD npc_bravery 70   {"name":"intrepid",   "score":70  }
ZADD npc_bravery 80   {"name":"fearless",   "score":80  }
ZADD npc_bravery 85   {"name":"bold",   "score":85  }
ZADD npc_bravery 90   {"name":"unafraid",   "score":90  }
ZADD npc_bravery 95   {"name":"brave",   "score":95  }
ZADD npc_bravery 100  {"name":"heroic",   "score":100  }

ZADD npc_skill 5   {"name":"incompetent",   "score":5  }
ZADD npc_skill 10  {"name":"ineptly skilled",   "score":10  }
ZADD npc_skill 30  {"name":"poorly skilled",   "score":30  }
ZADD npc_skill 40  {"name":"mediocrely skilled",   "score":40  }
ZADD npc_skill 50  {"name":"reasonably skilled",   "score":50  }
ZADD npc_skill 70  {"name":"decently skilled",   "score":70  }
ZADD npc_skill 80  {"name":"skilled",   "score":80  }
ZADD npc_skill 90  {"name":"gifted",   "score":90  }
ZADD npc_skill 98  {"name":"impressively skilled",   "score":98  }
ZADD npc_skill 100 {"name":"legendarily skilled",   "score":100  }

ZADD npc_experience 5    {"name":"new",   "score":5  }
ZADD npc_experience 10   {"name":"naive",   "score":10  }
ZADD npc_experience 15   {"name":"green",   "score":15  }
ZADD npc_experience 20   {"name":"amateur",   "score":20  }
ZADD npc_experience 25   {"name":"fledgling",   "score":25  }
ZADD npc_experience 30   {"name":"inexperienced",   "score":30  }
ZADD npc_experience 35   {"name":"rookie",   "score":35  }
ZADD npc_experience 40   {"name":"trained",   "score":40  }
ZADD npc_experience 45   {"name":"capable",   "score":45  }
ZADD npc_experience 50   {"name":"qualified",   "score":50  }
ZADD npc_experience 55   {"name":"proficient",   "score":55  }
ZADD npc_experience 60   {"name":"average",   "score":60  }
ZADD npc_experience 65   {"name":"effective",   "score":65  }
ZADD npc_experience 70   {"name":"accomplished",   "score":70  }
ZADD npc_experience 75   {"name":"gifted",   "score":75  }
ZADD npc_experience 80   {"name":"adept",   "score":80  }
ZADD npc_experience 85   {"name":"worldly",   "score":85  }
ZADD npc_experience 90   {"name":"expert",   "score":90  }
ZADD npc_experience 95   {"name":"veteran",   "score":95  }
ZADD npc_experience 100  {"name":"grizzled",   "score":100  }

ZADD npc_strength 10     {"name":"weak",   "score":10  }
ZADD npc_strength 20     {"name":"shaky",   "score":20  }
ZADD npc_strength 30     {"name":"delicate",   "score":30  }
ZADD npc_strength 40     {"name":"inactive",   "score":40  }
ZADD npc_strength 60     {"name":"able-bodied",   "score":60  }
ZADD npc_strength 70     {"name":"strong",   "score":70  }
