SET planettitle_chance 5

DEL planettitle
LPUSH planettitle  New
LPUSH planettitle  Old

DEL planetpre
LPUSH planetpre A
LPUSH planetpre Ab
LPUSH planetpre Acher
LPUSH planetpre Ae
LPUSH planetpre Ah
LPUSH planetpre Ai
LPUSH planetpre Ak
LPUSH planetpre Al
LPUSH planetpre Alde
LPUSH planetpre An
LPUSH planetpre Ar
LPUSH planetpre Ark
LPUSH planetpre Arm
LPUSH planetpre Arr
LPUSH planetpre As
LPUSH planetpre At
LPUSH planetpre Aur
LPUSH planetpre Ax
LPUSH planetpre Ba
LPUSH planetpre Bally
LPUSH planetpre Bar
LPUSH planetpre Bas
LPUSH planetpre Be
LPUSH planetpre Bel
LPUSH planetpre Beo
LPUSH planetpre Bis
LPUSH planetpre Bo
LPUSH planetpre Bog
LPUSH planetpre Bos
LPUSH planetpre Braal
LPUSH planetpre Bron
LPUSH planetpre Bry
LPUSH planetpre Ca
LPUSH planetpre Cal
LPUSH planetpre Car
LPUSH planetpre Cen
LPUSH planetpre Cet
LPUSH planetpre Cha
LPUSH planetpre Chth
LPUSH planetpre Cor
LPUSH planetpre Coru
LPUSH planetpre Cove
LPUSH planetpre Cre
LPUSH planetpre Cy
LPUSH planetpre Cyg
LPUSH planetpre Da
LPUSH planetpre Dax
LPUSH planetpre Day
LPUSH planetpre De
LPUSH planetpre Dee
LPUSH planetpre Dhr
LPUSH planetpre Di
LPUSH planetpre Do
LPUSH planetpre Dor
LPUSH planetpre Dy
LPUSH planetpre E
LPUSH planetpre Ea
LPUSH planetpre Ell
LPUSH planetpre Emp
LPUSH planetpre En
LPUSH planetpre Ep
LPUSH planetpre Er
LPUSH planetpre Ex
LPUSH planetpre Exx
LPUSH planetpre Far
LPUSH planetpre Fhlo
LPUSH planetpre Fi
LPUSH planetpre Fior
LPUSH planetpre For
LPUSH planetpre Fry
LPUSH planetpre Galli
LPUSH planetpre Gami
LPUSH planetpre Gari
LPUSH planetpre Garr
LPUSH planetpre Ge
LPUSH planetpre Gi
LPUSH planetpre Gl
LPUSH planetpre Gno
LPUSH planetpre Go
LPUSH planetpre Gor
LPUSH planetpre Gray
LPUSH planetpre Gur
LPUSH planetpre Ha
LPUSH planetpre Hain
LPUSH planetpre Har
LPUSH planetpre He
LPUSH planetpre Hel
LPUSH planetpre Hii
LPUSH planetpre Hy
LPUSH planetpre I
LPUSH planetpre Ji
LPUSH planetpre Jo
LPUSH planetpre Ju
LPUSH planetpre Jup
LPUSH planetpre Ka
LPUSH planetpre Kai
LPUSH planetpre Kash
LPUSH planetpre Ke
LPUSH planetpre Kha
LPUSH planetpre Kith
LPUSH planetpre Klen
LPUSH planetpre Kli
LPUSH planetpre Ko
LPUSH planetpre Kooze
LPUSH planetpre Kos
LPUSH planetpre Krel
LPUSH planetpre Krik
LPUSH planetpre Krish
LPUSH planetpre Kro
LPUSH planetpre Krypt
LPUSH planetpre Ku
LPUSH planetpre La
LPUSH planetpre Le
LPUSH planetpre Lees
LPUSH planetpre Leo
LPUSH planetpre Lon
LPUSH planetpre Lu
LPUSH planetpre Ma
LPUSH planetpre Mae
LPUSH planetpre Marsh
LPUSH planetpre Me
LPUSH planetpre Mei
LPUSH planetpre Mel
LPUSH planetpre Mer
LPUSH planetpre Mesk
LPUSH planetpre Meta
LPUSH planetpre Mid
LPUSH planetpre Milo
LPUSH planetpre Min
LPUSH planetpre Mir
LPUSH planetpre Mon
LPUSH planetpre Mor
LPUSH planetpre Morth
LPUSH planetpre Mote
LPUSH planetpre Musta
LPUSH planetpre Na
LPUSH planetpre Narn
LPUSH planetpre Nede
LPUSH planetpre Nep
LPUSH planetpre Nirn
LPUSH planetpre Nor
LPUSH planetpre Nulia
LPUSH planetpre Ny
LPUSH planetpre O
LPUSH planetpre Oa
LPUSH planetpre Oct
LPUSH planetpre Omni
LPUSH planetpre Op
LPUSH planetpre Or
LPUSH planetpre Ork
LPUSH planetpre Pa
LPUSH planetpre Pal
LPUSH planetpre Pan
LPUSH planetpre Pant
LPUSH planetpre Par
LPUSH planetpre Pern
LPUSH planetpre Pla
LPUSH planetpre Ploo
LPUSH planetpre Plu
LPUSH planetpre Pop
LPUSH planetpre Py
LPUSH planetpre Qom
LPUSH planetpre Rain
LPUSH planetpre Re
LPUSH planetpre Ri
LPUSH planetpre Ried
LPUSH planetpre Ro
LPUSH planetpre Roche
LPUSH planetpre Role
LPUSH planetpre Rom
LPUSH planetpre Roug
LPUSH planetpre Ru
LPUSH planetpre Ry
LPUSH planetpre Sa
LPUSH planetpre San
LPUSH planetpre Sat
LPUSH planetpre Sau
LPUSH planetpre Saur
LPUSH planetpre Se
LPUSH planetpre Serg
LPUSH planetpre Sha
LPUSH planetpre Shan
LPUSH planetpre Shi
LPUSH planetpre Sho
LPUSH planetpre Sih
